fundcode,name,jzrq,dwjz,gsz,gszzl,gztime,fetch_time
022365,永赢科技智选混合发起C,2026-05-19,5.1708,5.1732,0.05,2026-05-20 11:30,2026-05-20 12:45:17
025833,天弘电网设备特高压指数C,2026-05-19,1.4748,1.4735,-0.09,2026-05-20 11:30,2026-05-20 12:45:17
023639,国泰A股电网设备ETF联接C,2026-05-19,2.1542,2.1503,-0.18,2026-05-20 11:30,2026-05-20 12:45:17
022365,永赢科技智选混合发起C,2026-05-19,5.1708,5.1732,0.05,2026-05-20 11:30,2026-05-20 12:45:37
025833,天弘电网设备特高压指数C,2026-05-19,1.4748,1.4735,-0.09,2026-05-20 11:30,2026-05-20 12:45:37
023639,国泰A股电网设备ETF联接C,2026-05-19,2.1542,2.1503,-0.18,2026-05-20 11:30,2026-05-20 12:45:37
022365,永赢科技智选混合发起C,2026-05-19,5.1708,5.1732,0.05,2026-05-20 11:30,2026-05-20 12:45:57
025833,天弘电网设备特高压指数C,2026-05-19,1.4748,1.4735,-0.09,2026-05-20 11:30,2026-05-20 12:45:57
023639,国泰A股电网设备ETF联接C,2026-05-19,2.1542,2.1503,-0.18,2026-05-20 11:30,2026-05-20 12:45:57
023639,国泰A股电网设备ETF联接C,2026-05-19,2.1542,2.1503,-0.18,2026-05-20 11:30,2026-05-20 13:00:43
020900,天弘中证全指通信设备指数发起C,2026-05-19,3.7899,3.7864,-0.09,2026-05-20 11:30,2026-05-20 13:00:43
011120,富国创新科技混合C,2026-05-19,4.5970,4.6191,0.48,2026-05-20 11:30,2026-05-20 13:00:43
001701,国联产业升级混合,2026-05-19,3.1500,3.1335,-0.52,2026-05-20 11:30,2026-05-20 13:00:43
025422,浦银安盛数字经济混合C,2026-05-19,2.1333,2.1261,-0.34,2026-05-20 11:30,2026-05-20 13:00:43
025833,天弘电网设备特高压指数C,2026-05-19,1.4748,1.4734,-0.09,2026-05-20 11:30,2026-05-20 13:00:43
025949,诺安研究精选股票C,2026-05-19,3.0170,3.0005,-0.55,2026-05-20 11:30,2026-05-20 13:00:43
017103,大摩数字经济混合C,2026-05-19,3.9413,3.9378,-0.09,2026-05-20 11:30,2026-05-20 13:00:43
020256,中欧中证机器人指数发起C,2026-05-19,1.8213,1.8060,-0.84,2026-05-20 11:30,2026-05-20 13:00:43
018185,万家先进制造混合发起式C,2026-05-19,1.4131,1.4046,-0.60,2026-05-20 11:30,2026-05-20 13:00:43
005885,金鹰信息产业股票C,2026-05-19,5.4285,5.4773,0.90,2026-05-20 11:30,2026-05-20 13:00:43
