fundcode,name,jzrq,dwjz,gsz,gszzl,gztime,fetch_time
017103,大摩数字经济混合C,2026-05-19,3.9413,3.9521,0.27,2026-05-20 13:12,2026-05-20 13:16:08
010364,鹏华空天军工指数(LOF)C,2026-05-19,1.1206,1.1154,-0.46,2026-05-20 13:12,2026-05-20 13:16:08
023639,国泰A股电网设备ETF联接C,2026-05-19,2.1542,2.1589,0.22,2026-05-20 13:12,2026-05-20 13:16:08
022365,永赢科技智选混合发起C,2026-05-19,5.1708,5.1896,0.36,2026-05-20 13:12,2026-05-20 13:16:08
005911,广发双擎升级混合A,2026-05-19,2.5601,2.5686,0.33,2026-05-20 13:12,2026-05-20 13:16:08
014642,摩根新兴动力混合C,2026-05-19,12.5686,12.6968,1.02,2026-05-20 13:12,2026-05-20 13:16:08
003853,金鹰信息产业股票A,2026-05-19,5.5512,5.6440,1.67,2026-05-20 13:14,2026-05-20 13:16:08
000263,工银信息产业混合A,2026-05-19,5.3230,5.3500,0.51,2026-05-20 13:14,2026-05-20 13:16:08
017470,嘉实上证科创板芯片ETF发起联接C,2026-05-19,2.8924,3.0095,4.05,2026-05-20 13:14,2026-05-20 13:16:08
019548,招商纳斯达克100ETF发起式联接(QDII)C,2026-05-18,1.5427,1.5338,-0.58,2026-05-20 04:00,2026-05-20 13:16:08
020065,西部利得科技创新混合C,2026-05-19,2.0787,2.0613,-0.84,2026-05-20 13:12,2026-05-20 13:16:08
001630,天弘中证计算机ETF联接C,2026-05-19,0.9085,0.8981,-1.14,2026-05-20 13:12,2026-05-20 13:16:08
020483,中欧中证芯片产业指数发起C,2026-05-19,3.1794,3.3094,4.09,2026-05-20 13:12,2026-05-20 13:16:08
001224,中邮新思路灵活配置混合A,2026-05-19,3.9520,3.9573,0.13,2026-05-20 13:14,2026-05-20 13:16:08
025333,诺安成长混合C,2026-05-19,2.3380,2.4423,4.46,2026-05-20 13:12,2026-05-20 13:16:08
025949,诺安研究精选股票C,2026-05-19,3.0170,3.0074,-0.32,2026-05-20 13:12,2026-05-20 13:16:08
164205,天弘文化新兴产业股票A,2026-05-19,4.2966,4.3289,0.75,2026-05-20 13:12,2026-05-20 13:16:08
014419,西部利得CES芯片指数增强C,2026-05-19,1.6265,1.6933,4.11,2026-05-20 13:12,2026-05-20 13:16:08
020465,招商中证半导体产业ETF发起式联接C,2026-05-19,3.3565,3.5388,5.43,2026-05-20 13:12,2026-05-20 13:16:08
016531,鹏华碳中和主题混合C,2026-05-19,2.0281,2.0193,-0.44,2026-05-20 13:12,2026-05-20 13:16:08
000136,民生加银策略精选混合A,2026-05-19,4.9772,4.9762,-0.02,2026-05-20 13:14,2026-05-20 13:16:08
001701,国联产业升级混合,2026-05-19,3.1500,3.1585,0.27,2026-05-20 13:14,2026-05-20 13:16:08
024751,兴业上证科创板人工智能指数C,2026-05-19,1.2081,1.2113,0.27,2026-05-20 13:12,2026-05-20 13:16:08
025422,浦银安盛数字经济混合C,2026-05-19,2.1333,2.1302,-0.15,2026-05-20 13:12,2026-05-20 13:16:08
014162,万家人工智能混合C,2026-05-19,4.2559,4.3335,1.82,2026-05-20 13:12,2026-05-20 13:16:08
025833,天弘电网设备特高压指数C,2026-05-19,1.4748,1.4782,0.23,2026-05-20 13:12,2026-05-20 13:16:08
005885,金鹰信息产业股票C,2026-05-19,5.4285,5.5139,1.57,2026-05-20 13:12,2026-05-20 13:16:08
023896,天弘上证科创板综合指数增强C,2026-05-19,1.8640,1.8982,1.83,2026-05-20 13:12,2026-05-20 13:16:08
004409,招商深证TMT50ETF联接C,2026-05-19,3.6390,3.6386,-0.01,2026-05-20 13:14,2026-05-20 13:16:08
023519,国投瑞银上证科创板200指数发起式C,2026-05-19,1.8594,1.8748,0.83,2026-05-20 13:12,2026-05-20 13:16:08
